no_story,T1,no_span,no_bay,DI_cladire
4,0.69101,2,4,0.17752
11,0.84581,3,3,0.33915
5,0.72142,2,5,0.25544
9,0.8292,4,5,0.0
5,0.69826,5,2,1.3023
13,1.1175,4,4,0.7812
8,0.9583,5,5,0.37917
5,0.58256,3,3,0.23338
12,1.088,5,4,0.46276
5,0.4947,2,3,0.49693
8,0.98731,4,5,0.53383
5,0.48806,5,4,1.1292
10,1.3684,5,2,0.6993
10,0.99179,3,4,0.67015
5,0.43455,4,3,0.25788
5,0.69825,4,5,0.15952
6,0.44481,4,5,0.073485
5,0.66264,2,3,0.27452
13,1.6153,5,2,0.3924
6,0.64618,5,5,1.0794
13,1.3193,4,5,0.98381
8,0.65296,2,3,0.25515
8,0.7534,3,3,0.17481
7,0.68822,5,5,0.25659
10,1.1311,5,5,0.74742
13,1.3879,5,5,0.64055
4,0.78831,5,5,0.27603
10,1.0471,4,5,1.0009
11,1.5595,5,3,0.63251
5,0.56428,5,2,0.2123
10,1.1365,5,2,0.32209
8,0.65432,3,3,0.24719
13,1.6752,5,3,2.3121
11,0.96779,5,3,1.5066
10,0.84732,5,2,1.5604
5,0.75992,3,5,0.16445
11,0.85627,2,5,1.9549
4,0.65487,5,4,0.12369
9,0.76338,4,3,0.20201
4,0.76412,5,3,0.35299
10,1.0502,4,2,0.76896
4,0.5481,5,3,0.49491
4,0.67875,2,4,0.6185
8,0.63257,4,2,1.9787
10,0.8792,3,3,0.60872
6,0.86695,4,3,0.53096
9,1.2668,3,3,0.23334
7,0.67935,2,2,1.5451
10,1.1952,2,2,0.88339
5,0.65434,5,2,0.20716
10,1.0795,5,3,0.39079
6,0.95137,5,4,0.12092
10,0.93703,5,2,0.34673
7,0.75325,4,3,0.5686
8,0.57258,2,5,0.081605
4,0.6002,4,2,0.52817
12,1.0574,2,2,1.7162
8,0.89973,5,4,0.90031
9,0.65296,5,4,1.9531
11,0.99178,2,3,2.1645
4,0.57569,5,2,0.032284
12,1.095,3,4,0.75787
12,1.6871,2,3,0.72067
11,0.87049,2,2,0.81626
13,1.047,3,4,1.7259
7,0.63759,3,3,0.048672
13,1.2215,5,5,1.4254
12,1.0161,5,2,1.2939
6,0.60673,5,3,0.054433
12,1.1549,2,2,0.35614
9,1.0544,5,3,0.041486
12,1.0384,3,3,0.66063
11,1.3176,4,5,1.1078
4,0.78856,2,3,0.34383
13,1.1244,4,4,0.64724
9,0.98879,4,5,0.22834
6,0.77395,2,5,0.34638
6,0.70386,3,5,0.32562
6,0.56718,5,5,1.2141
8,1.0822,5,2,0.34353
12,1.0774,5,4,0.7872
13,1.1272,4,2,0.43116
9,0.8186,4,3,0.27319
9,0.8267,4,3,0.26346
9,0.73442,4,2,0.24802
9,0.84497,2,3,0.57093
6,0.4991,4,4,0.24585
9,0.69286,3,5,1.3618
13,1.553,4,4,0.45927
10,0.81102,2,2,0.36634
6,0.82417,5,2,0.08803
7,0.78828,3,3,0.10392
11,1.1364,2,2,0.31722
4,0.54722,2,2,0.16663
4,0.54267,5,2,0.30815
10,0.95758,2,5,1.1401
13,1.3348,3,5,0.41513
5,0.76507,4,4,0.26227
4,0.51672,2,2,0.4102
7,0.9571,2,5,0.29441
5,0.52715,3,5,0.27894
6,0.67997,3,3,0.36198
8,1.1311,3,4,0.39354
13,1.2147,2,4,1.3983
7,0.93307,4,3,0.1581
6,0.75382,4,4,0.012409
9,0.93657,4,4,1.8868
12,0.90292,4,2,0.52398
8,0.88597,5,4,0.050135
11,1.0979,3,5,0.56412
12,1.0801,3,5,1.3236
7,0.89824,4,5,0.40528
12,1.0118,5,5,0.45659
9,0.80798,4,5,0.3494
10,1.0222,5,3,0.074352
5,0.49951,5,5,0.11994
13,1.3373,3,5,1.6105
9,0.97832,3,4,0.22737
8,0.90641,3,4,0.010278
11,0.779,4,2,0.7576
6,0.46392,2,3,0.87167
7,0.68733,4,4,0.3249
9,0.83505,3,2,0.13566
12,0.96626,2,5,1.2509
4,0.65443,4,5,0.25251
12,1.5771,5,2,0.50916
7,0.71888,5,5,0.38183
9,0.70692,2,4,0.91753
5,0.6204,3,4,0.31666
11,1.5969,3,3,0.27712
4,0.50188,5,2,0.16256
8,0.78147,4,5,0.58953
6,0.56206,5,3,0.19787
7,0.58563,2,2,0.44182
6,0.67767,5,4,0.1573
12,1.3551,2,2,1.8058
13,1.5471,4,2,1.3134
4,0.76339,4,4,0.59681
10,1.0793,5,5,0.35953
5,0.53741,2,2,0.25254
8,0.66536,4,3,0.056073
12,1.3575,2,4,0.48669
11,0.84926,4,4,0.2636
4,0.52669,5,5,0.070308
8,0.76252,2,2,1.3756
7,0.60237,4,4,0.20174
9,1.0109,2,3,0.064394
4,0.63918,3,2,0.50496
8,1.0078,5,3,0.021747
9,0.79476,5,2,1.0132
9,1.0236,2,4,0.36718
9,1.0556,2,4,0.026041
13,1.7174,4,4,0.41824
13,1.8687,2,5,0.43967
4,0.65082,3,5,0.0
11,1.1721,3,5,0.5861
7,0.83849,2,3,0.086198
9,0.82502,3,4,0.73298
12,1.2243,3,5,0.83547
12,0.90753,5,2,0.24193
13,1.1187,4,4,0.57343
6,0.60666,4,3,0.1843
11,1.0466,4,3,0.74382
11,1.0435,2,3,0.11837
11,1.2809,3,3,0.63664
11,0.847,5,4,0.937
10,1.0583,5,5,0.60748
8,0.7165,2,4,0.22302
11,1.3037,5,2,0.67907
13,1.9274,3,2,0.56685
13,0.93561,4,2,0.50768
4,0.75011,5,5,0.3862
10,1.0421,5,3,0.8142
9,0.77595,3,5,0.16469
8,0.81355,5,5,0.21482
11,1.3237,2,3,0.41618
8,0.75047,5,5,0.70638
6,0.7812,5,2,0.2052
4,0.45613,4,4,0.37545
10,0.90877,4,3,0.70518
4,0.62375,5,3,0.048456
7,0.74283,2,4,0.49911
7,0.54879,3,3,0.42751
4,0.73903,5,4,0.23175
8,0.78433,4,2,0.1084
6,0.47774,2,3,0.30381
12,1.4546,5,2,0.86491
4,0.50948,4,3,0.40738
7,0.85497,3,2,0.1385
10,0.90698,2,3,0.52606
8,0.8291,2,2,0.067761
6,0.63415,3,5,1.9935
13,1.3055,3,5,0.51367
7,0.84995,4,2,0.0771
7,0.77899,4,2,0.36347
13,2.0654,4,2,0.30683
6,0.49317,4,4,0.75598
9,1.0365,3,3,0.40004
13,1.6787,4,4,0.90377
7,0.66024,2,5,0.25972
9,1.02,5,4,0.3445
8,0.81243,2,4,0.2685
5,0.71219,3,2,2.145
8,0.8049,4,2,0.62442
8,0.84348,3,3,0.29341
7,0.79115,4,5,1.8194
4,0.79383,2,2,0.1517
10,1.066,3,4,0.39515
11,1.0396,4,4,0.28593
5,0.57683,4,2,0.26703
6,0.61572,4,3,0.054073
6,0.55438,3,3,0.34993
7,0.71348,5,5,0.29583
5,0.62415,5,3,0.051577
4,0.64172,4,4,0.11698
10,0.76188,4,5,0.49754
13,1.4613,5,5,1.2509
5,0.68293,2,2,0.62361
5,0.61159,5,3,0.18185
12,1.5249,2,5,0.72268
8,0.81524,2,5,0.69368
7,0.66614,3,4,0.34543
12,1.1495,4,4,1.4408
11,1.2189,3,5,0.65271
6,0.82306,3,4,0.70153
6,0.60405,2,5,0.54347
9,0.65934,2,2,0.058783
13,1.0434,3,2,1.1597
7,0.97728,4,4,0.2422
5,0.61866,4,5,0.21791
6,0.69966,5,5,0.75663
7,0.88188,3,3,0.33235
5,0.77287,5,3,0.066059
11,1.1988,5,2,0.40169
8,0.62507,5,3,0.25071
8,0.81913,4,3,0.45094
11,0.87372,4,3,0.41089
6,0.64427,3,3,0.066051
5,0.74999,4,5,0.14877
13,1.2632,4,3,0.89408
8,0.88285,4,5,0.87006
7,0.73807,2,3,0.24235
4,0.72352,5,4,0.65905
9,0.6769,2,3,0.47952
13,0.97683,5,4,0.079377
4,0.65152,2,5,0.182
10,1.1479,3,4,0.75887
6,0.6679,3,3,0.38262
7,0.60237,2,5,0.17191
12,0.96183,2,2,1.0299
5,0.74761,3,4,0.44718
7,0.71263,5,4,1.8589
12,1.3784,5,4,0.78125
12,1.1448,5,5,0.13107
13,0.97182,3,4,0.42137
7,0.93397,5,2,0.32654
4,0.73833,4,3,0.55195
13,1.1264,4,4,0.69177
4,0.67378,3,5,0.37581
7,0.67706,4,2,2.0345
8,0.71407,3,2,0.98999
13,1.2971,5,4,1.4567
13,1.2941,4,5,0.57049
12,1.3326,3,5,1.5364
9,1.0702,3,3,1.1013
13,1.3305,3,2,0.51435
8,1.0189,2,2,0.27314
5,0.51101,2,3,0.17015
4,0.55554,4,5,0.54682
6,0.6658,4,3,0.99075
8,0.67583,4,3,0.50194
5,0.72036,4,5,0.20794
5,0.64158,3,4,0.3237
12,1.2663,2,5,0.92448
13,1.337,5,5,1.6002
11,1.2041,4,2,1.3254
13,1.6819,4,2,0.35201
8,0.79296,4,4,0.080936
6,0.43904,5,2,0.11326
9,1.0621,3,5,1.124
6,0.56133,3,2,0.21182
5,0.86383,2,3,2.1481
4,0.79643,5,4,2.1914
5,0.4309,2,4,0.086482
12,1.0761,2,2,1.3031
4,0.7833,3,2,0.42367
4,0.70344,3,4,0.0
6,0.7436,5,3,0.079028
11,1.6338,5,2,0.79508
11,0.97713,2,4,0.43325
7,0.664,4,5,1.3916
9,0.95317,4,3,0.46519
7,0.78722,4,2,0.46647
6,0.63523,4,2,0.10632
9,0.74953,3,4,0.44809
12,1.3677,4,4,0.74408
5,0.53264,2,2,0.070009
10,1.1802,3,5,0.39387
8,0.65657,4,2,0.35846
10,1.2568,2,5,0.67741
7,0.9018,3,2,0.10049
11,1.3151,3,3,0.18354
4,0.70979,2,2,0.0
5,0.63746,5,4,0.31622
12,1.2193,4,5,0.92896
9,0.80225,5,4,0.54186
8,0.77084,3,3,0.33349
11,1.0364,3,5,0.46969
7,0.86142,4,2,0.16308
4,0.59706,5,5,0.2915
4,0.52972,4,2,0.28055
5,0.75283,4,2,0.038783
5,0.81965,3,2,0.051167
7,0.85718,4,2,0.53503
10,0.8783,3,4,0.60771
9,0.92951,3,2,0.10997
7,1.0888,2,3,0.67339
10,0.7293,5,3,0.19446
7,0.49839,5,5,0.32521
11,1.161,5,2,0.68704
13,1.0524,3,4,0.17902
11,0.98123,4,2,0.17507
10,1.0988,2,3,0.14418
10,0.89937,2,3,0.25076
4,0.75929,2,2,0.0099486
6,0.68376,2,4,0.54099
11,0.91286,3,4,0.41884
8,0.65358,3,3,0.16702
6,0.56387,3,3,0.31373
4,0.54513,5,4,0.054921
8,0.80464,3,4,0.85846
9,0.93579,5,3,1.0933
9,0.97978,5,5,0.088831
6,0.74899,3,3,0.26781
12,0.98353,2,2,0.38063
9,0.82012,2,5,0.14616
4,0.42492,5,3,0.30583
6,0.59384,2,4,0.62575
13,2.0346,2,4,1.0957
5,0.65145,3,2,0.42602
10,0.89501,2,5,1.3485
4,0.75629,5,5,0.63599
4,0.48043,3,3,0.33185
8,0.8765,4,5,0.034426
9,1.142,5,2,0.21374
11,1.0791,3,3,0.60482
13,1.2743,5,2,0.75458
8,0.81988,3,4,1.2865
4,0.62197,3,5,0.027163
4,0.59605,3,5,0.6945
4,0.5715,3,3,0.61079
8,0.75428,4,3,0.64082
6,0.65692,4,4,0.234
13,1.3906,2,3,1.3526
11,1.2811,4,3,0.94806
10,0.70108,2,2,1.5361
4,0.58605,4,4,0.14225
11,0.9741,5,3,1.2927
4,0.53126,2,2,0.1953
12,1.2213,3,3,1.1645
10,0.85312,4,2,0.19437
9,1.2179,4,4,0.55037
12,1.384,2,4,1.3477
10,1.2309,2,3,0.17126
12,0.91298,4,2,0.74023
13,2.2013,5,2,0.49933
7,0.56316,5,5,1.5019
10,1.1341,4,3,0.061627
8,0.73692,2,5,0.14425
4,0.4837,4,2,0.26044
11,1.2145,4,2,0.64402
13,1.371,2,2,1.5633
10,0.9346,4,4,0.24112
6,0.50885,5,3,0.19295
5,0.61661,2,2,0.15792
9,0.88819,4,3,0.089997
9,1.0613,2,4,1.2985
4,0.79515,4,4,0.27156
5,0.90378,3,5,0.16025
12,1.1572,2,4,0.29287
6,0.69059,2,2,0.05858
5,0.87572,4,4,0.0
7,0.97521,2,5,0.88963
10,1.058,5,5,0.20364
9,1.0389,3,3,2.1148
8,0.66002,5,3,0.31883
12,0.97067,4,5,1.8733
10,0.95623,4,3,0.16945
8,0.61796,2,4,0.11681
7,0.55509,4,3,0.062039
13,1.3664,3,5,0.59528
8,0.8845,2,5,0.46812
10,0.76243,4,2,0.50263
4,0.57529,2,5,0.049584
6,0.81536,5,3,0.24991
11,1.2364,5,4,0.20909
11,1.0924,5,2,0.77646
6,0.71794,5,5,0.46789
4,0.62591,2,3,0.082277
8,0.69467,5,2,0.47082
7,0.81661,2,3,0.22376
9,1.1006,2,3,0.83342
7,0.77381,4,4,0.39018
12,1.0707,3,5,0.078899
8,0.66393,3,5,0.15498
13,1.0682,2,3,1.1241
5,0.86925,2,5,0.045525
10,0.95838,5,5,1.0927
4,0.71695,4,4,0.023707
13,1.9557,5,2,1.0407
13,1.5423,2,2,1.0226
11,1.0335,4,5,0.77979
7,0.55683,3,2,1.2294
8,0.74696,5,2,1.252
11,1.028,4,4,0.72963
6,0.67102,3,5,0.25406
12,1.0312,4,3,2.1478
6,0.74815,5,3,0.31024
8,0.71436,3,2,0.21223
11,0.83669,4,4,0.73609
10,1.0936,2,2,0.80267
8,0.90966,3,4,0.62362
7,0.80253,4,2,0.30523
7,0.91085,3,5,0.28127
12,0.94812,5,4,1.7805
4,0.50643,4,3,0.026166
11,1.1972,2,3,1.3555
10,1.0449,5,3,0.92368
11,0.97219,4,4,0.91335
11,0.94954,4,3,0.51307
8,1.1209,2,2,0.82413
12,1.1719,5,5,0.52969
8,0.94338,3,3,0.95632
10,1.1778,2,2,0.18307
12,1.171,5,4,0.58508
12,0.97173,5,5,1.4055
8,1.0145,2,2,0.26525
7,0.99191,5,2,0.21664
7,0.89475,5,4,0.64206
11,1.0357,2,4,0.19258
9,0.98052,5,3,0.1779
10,1.0823,2,5,1.0446
12,1.3866,5,2,0.96318
12,1.1123,3,3,1.4585
8,0.76267,2,2,0.15639
7,0.60843,3,2,0.28073
13,1.3603,4,2,0.56567
9,0.81351,5,5,0.0
8,0.74953,5,4,0.69066
9,0.68259,2,4,0.036266
10,0.93847,3,2,0.53513
10,0.84988,4,3,1.1292
13,1.4649,2,5,0.81948
5,0.70797,4,2,0.13019
7,0.55592,4,3,0.29214
5,0.77362,2,4,0.076015
11,1.3015,4,3,1.4463
5,0.53965,2,2,0.07479
5,0.86643,4,3,0.43956
7,0.58636,4,2,0.073355
11,1.2362,5,4,1.1429
6,0.67515,5,5,0.5365
6,0.69768,5,2,0.20608
8,0.78556,4,2,0.05507
5,0.42677,4,2,0.24397
5,0.77694,4,5,0.30041
11,1.1445,4,3,0.69064
4,0.75515,3,5,0.16282
12,1.2472,5,5,1.0068
10,0.80862,5,4,0.22326
13,1.1987,4,5,2.453
7,0.83601,2,5,0.68432
13,1.2117,3,2,1.5572
8,1.0699,3,2,0.50646
11,1.1199,5,4,0.0
5,0.70996,4,2,0.67529
5,0.73938,4,4,0.46513
13,1.6629,2,2,0.43837
10,0.88484,3,2,0.49199
13,1.4543,2,4,0.55114
6,0.55498,4,3,0.24868
11,1.0396,2,4,0.36433
7,0.95425,4,4,0.19831
6,0.77457,4,2,0.51433
11,1.4208,2,3,0.93549
5,0.63721,2,3,0.18123
10,1.2127,2,4,0.25439
7,0.75094,2,3,0.0
11,0.89299,3,5,1.1074
8,0.64489,5,3,2.1467
4,0.59549,5,3,0.31981
8,0.79599,5,3,1.2158
6,0.8658,3,4,0.39956
8,0.7987,4,2,0.5057
8,0.74958,5,4,0.16616
7,0.836,3,4,0.47258
4,0.64725,5,4,0.082405
9,0.75265,4,2,0.65336
6,0.65463,2,4,0.34102
4,0.74585,3,3,1.0786
9,0.63818,2,4,0.58216
9,0.73688,5,3,1.1562
11,1.3026,4,5,0.45636
4,0.76408,5,4,0.041784
8,0.75242,2,2,0.22816
6,0.54533,2,4,0.047541
7,0.84934,3,5,0.50335
12,1.0669,2,4,1.6127
5,0.71682,4,2,0.18394
7,0.61163,2,4,0.2264
12,1.0962,2,2,1.4011
10,1.1408,2,5,0.81957
5,0.60507,5,2,0.33492
7,0.78703,5,5,0.66975
12,1.3207,4,4,0.62775
5,0.88435,2,5,0.43302
9,1.1919,5,3,0.16547
12,0.85528,3,3,0.89432
11,1.0984,3,2,0.35526
5,0.52669,3,2,0.0
12,1.4691,4,2,1.2205
7,0.65197,4,5,0.41066
5,0.77287,5,3,0.17011
11,1.1988,5,2,0.56195
8,0.62507,5,3,0.21387
4,0.48709,2,4,0.2243
4,0.62573,4,2,0.057238
7,0.7334,2,2,0.14818
4,0.76397,2,3,0.18521
11,1.1176,4,3,0.60536
5,0.56124,2,4,0.022771
11,0.82907,3,2,0.29411
4,0.55871,2,5,0.20167
8,0.72783,4,4,0.75103
8,1.0042,5,2,0.55672
10,0.72207,2,5,0.18908
9,0.7759,2,3,1.1344
8,0.95781,3,2,0.26714
7,0.78677,4,2,0.31882
6,0.80305,2,3,0.28329
9,0.72453,5,2,0.26166
6,0.66012,2,3,0.35728
13,1.3425,3,2,0.90541
7,0.64926,4,5,0.36133
6,0.57029,5,3,0.16253
5,0.51691,2,3,0.17698
6,0.59729,2,2,0.20549
9,1.025,5,2,0.025812
13,1.0502,2,4,1.8128
10,0.94347,3,5,0.27213
8,0.64072,2,5,1.7491
11,1.025,2,4,0.78213
7,0.76706,3,4,0.38292
6,0.52226,5,2,0.28519
8,0.80696,3,5,0.27635
7,0.52706,3,2,0.12296
5,0.55954,4,3,0.43584
5,0.85239,2,4,0.034705
11,1.8403,4,3,0.16321
6,0.7012,5,4,0.44269
10,0.98204,3,5,0.36088
5,0.76746,3,3,0.22963
7,0.61005,3,5,0.31277
