no_story,no_story_2,T1,no_span,no_bay,no_span_2,no_bay_2,DI_cladire
8,6,0.79404,5,2,3,1,0.23379
11,3,1.1028,3,3,2,1,2.3318
4,2,0.59723,2,4,1,4,0.71196
7,4,0.51702,3,4,2,4,0.2828
13,6,1.1042,3,5,2,1,1.0529
9,6,0.90466,5,2,1,5,0.76937
10,3,0.78274,2,2,1,5,0.16262
10,6,0.82513,2,3,1,3,0.058165
10,6,1.3012,3,4,2,2,1.052
9,2,1.119,2,5,1,3,0.924
7,2,0.77715,5,3,4,4,0.51176
8,5,0.76281,5,4,4,1,0.72101
7,5,0.56326,3,2,1,3,0.65366
13,6,1.0386,2,2,1,4,0.41081
13,11,1.0357,5,2,4,5,1.2226
9,5,0.83408,2,5,1,2,0.38438
6,3,0.63674,5,5,3,4,0.1735
8,2,0.65693,4,3,1,5,0.63452
11,5,0.86311,4,5,1,5,0.22445
12,8,0.95842,2,2,1,5,0.7916
4,2,0.70659,3,2,2,3,0.18703
7,4,0.87438,3,4,1,5,1.2203
9,3,0.90803,2,4,1,5,1.8443
8,6,0.61736,4,5,3,3,0.33888
4,2,0.49375,5,3,2,2,0.31123
13,3,1.5091,3,4,2,2,0.4798
6,3,0.57922,2,2,1,3,0.19967
10,4,1.6848,2,5,1,1,0.72073
4,2,0.76545,4,4,1,1,0.28313
13,9,0.9378,2,5,1,3,0.46996
5,3,0.43362,2,2,1,5,0.34194
11,5,0.77173,2,2,1,4,0.23051
11,6,1.2468,4,5,2,3,0.45194
7,5,0.79435,5,4,1,1,0.22843
5,3,0.43753,3,2,2,2,0.1612
13,6,1.5113,2,2,1,1,0.45083
6,3,0.5978,3,3,1,1,0.40101
8,3,0.68721,3,2,1,2,0.4357
4,2,0.69944,4,3,1,2,1.2538
6,4,0.43429,3,2,1,1,0.84506
10,7,1.0326,2,4,1,3,0.73688
10,4,0.87178,3,4,1,2,0.91994
8,5,0.9217,4,2,2,5,0.44061
12,6,0.84632,5,3,2,1,0.67599
5,3,0.61668,4,2,2,3,1.5881
12,5,1.6322,3,3,1,5,1.6187
5,2,0.97541,2,2,1,3,0.23038
10,4,1.1218,2,3,1,4,0.2208
8,6,0.82646,2,4,1,2,0.53232
4,2,0.56792,5,5,4,4,0.10105
10,2,1.0655,5,4,2,2,0.079162
10,3,0.98587,4,5,3,1,0.29458
6,4,0.57519,3,3,2,3,0.71072
7,2,0.56276,2,4,1,5,0.77858
9,5,0.67911,4,2,1,1,0.13801
11,2,1.3157,3,4,2,3,0.43808
12,2,1.1219,2,5,1,5,0.72415
9,4,1.1222,4,5,1,4,0.42091
5,2,0.62381,2,3,1,3,0.20981
9,5,0.90234,5,3,3,1,0.29615
11,9,1.7445,2,3,1,1,0.73042
10,4,1.1536,2,3,1,4,0.8663
13,5,1.1932,2,4,1,2,0.64606
12,2,1.1785,2,3,1,2,0.70184
13,7,1.3449,3,4,1,2,1.2027
7,4,0.53735,2,4,1,3,0.55371
8,2,0.59675,5,3,3,3,0.45521
6,2,0.75318,4,4,1,3,0.10954
6,4,0.60684,5,2,4,4,0.069262
8,4,0.65585,3,2,2,5,0.14221
13,7,1.5131,3,3,1,2,1.1214
4,2,0.63812,4,2,1,5,0.090125
8,5,0.58195,2,5,1,5,0.46951
9,6,0.97353,3,3,1,4,0.63476
10,3,1.2082,4,4,1,4,0.06568
8,2,0.7456,5,3,3,2,0.99225
4,2,0.6896,3,4,2,4,0.023832
5,3,0.47919,2,4,1,4,0.062578
10,7,1.149,4,4,3,2,1.4048
5,2,0.53661,4,4,3,2,0.37891
13,11,1.333,5,5,1,2,0.89322
13,11,1.0477,4,4,3,5,0.3961
11,9,0.99135,2,2,1,1,0.37243
4,2,0.72989,2,5,1,4,0.063727
7,5,0.55946,4,2,1,4,0.29088
12,8,0.91816,2,4,1,2,0.47159
11,6,1.674,2,5,1,1,0.26675
6,3,0.63706,3,4,1,1,0.0046352
6,3,0.67071,3,4,1,5,0.0
10,4,0.9623,3,5,2,4,0.78755
10,2,0.77619,5,3,2,2,0.045674
11,8,1.0845,5,3,4,4,1.14
8,5,0.72763,3,3,1,1,0.43958
10,2,0.95458,4,3,3,5,0.040452
10,6,1.3506,4,5,1,5,0.94134
6,4,0.74539,3,2,1,4,0.069719
7,5,0.60357,4,3,3,2,0.49349
4,2,0.68223,3,3,1,1,0.20985
5,2,0.51277,2,2,1,2,0.22358
5,2,0.70276,4,2,1,4,0.15748
13,2,1.4406,4,4,2,5,0.29973
10,3,1.0688,2,2,1,3,0.3916
12,2,1.1258,3,5,2,5,0.16245
11,2,1.1791,3,5,2,4,0.52017
5,3,0.65385,5,5,1,2,0.33854
10,2,0.84835,2,4,1,2,0.61005
8,5,0.63594,5,4,3,3,0.39049
13,5,1.4574,5,5,1,5,0.85103
10,6,1.4309,5,3,3,3,0.94028
6,2,0.50398,4,4,3,4,1.0831
5,3,0.60136,4,4,1,2,0.9864
11,7,1.0052,3,5,2,4,2.2675
8,6,0.68113,3,3,2,4,2.464
12,3,1.0336,5,3,3,1,0.24294
8,6,0.56718,3,4,2,5,0.5503
12,3,1.4222,2,3,1,2,0.57127
6,2,0.65841,3,3,2,5,0.081046
5,2,0.71624,4,2,1,1,0.20248
6,3,0.62601,2,3,1,1,0.26157
12,5,0.91412,4,3,1,1,0.34433
7,3,0.60699,4,3,3,3,0.099876
12,6,0.97723,3,3,2,3,1.7822
7,5,0.65835,5,5,1,3,0.79166
12,2,1.4443,3,3,2,1,0.79244
9,4,0.7001,2,2,1,4,0.82287
8,4,0.60861,2,5,1,5,0.69905
5,3,0.94377,5,4,1,4,0.4181
8,4,0.83107,5,5,2,4,0.28607
6,2,0.59741,2,2,1,2,0.35019
5,2,0.69601,2,4,1,2,0.11927
6,3,0.69734,4,4,2,5,0.0268
5,2,0.62194,5,4,4,3,0.022566
12,9,1.225,4,3,1,1,0.9337
4,2,0.69892,2,2,1,1,0.13474
4,2,0.58999,5,4,1,1,0.34619
8,4,0.59556,5,4,3,5,0.4918
11,9,1.1611,4,5,2,1,0.874
8,3,0.70945,5,4,1,3,0.71521
8,3,0.64192,2,2,1,5,0.99532
11,4,1.1228,2,5,1,1,0.6964
5,2,0.57167,3,3,1,4,0.27067
11,6,1.0585,2,5,1,3,1.0815
11,3,1.2974,5,3,1,2,0.38367
8,6,0.84331,3,5,2,4,0.28794
5,2,0.7082,4,4,2,1,0.16929
7,3,0.76895,4,5,2,4,0.32818
9,6,0.77851,4,5,1,2,1.4951
12,3,1.3361,5,4,1,1,0.62726
10,8,0.77919,2,5,1,1,1.2309
10,3,0.96626,4,2,2,3,0.89415
7,3,0.99305,3,4,2,2,0.27625
4,2,0.79865,5,2,1,5,0.01986
13,9,0.98999,3,4,1,3,0.67412
11,6,1.2295,2,3,1,2,0.66786
6,2,0.94137,4,4,3,2,0.19264
6,3,0.66715,3,5,1,3,0.078323
4,2,0.51849,3,3,2,1,0.27419
11,3,0.98876,2,2,1,4,0.46025
11,3,0.80614,4,2,1,2,0.42494
12,3,1.6323,4,3,1,5,0.37744
8,2,0.64301,5,4,4,5,0.034657
5,2,0.83313,4,5,2,4,0.088861
11,4,1.092,5,4,4,4,0.41241
9,2,0.743,4,4,2,1,0.27604
10,8,1.2139,2,3,1,1,1.4636
10,2,0.88917,4,4,2,1,1.36
11,7,1.3814,2,2,1,4,1.2654
13,4,1.3058,4,5,2,3,1.2571
4,2,0.75367,5,3,1,5,0.12242
4,2,0.36552,3,2,2,4,0.0
12,10,0.95704,5,2,4,3,1.1977
9,2,0.95215,4,5,2,4,1.892
5,2,0.42968,4,4,1,4,0.020339
6,4,0.82167,2,4,1,2,0.087885
13,2,1.0472,5,3,4,3,0.7356
7,4,0.7263,5,3,1,4,0.14542
4,2,0.42321,2,3,1,2,0.14321
8,2,0.61439,2,2,1,4,0.45082
6,4,0.70297,3,3,1,1,0.27953
6,4,0.61011,2,4,1,5,0.17149
10,3,0.73802,2,3,1,5,0.30994
11,4,1.1982,4,4,1,5,0.36585
10,5,0.943,5,3,4,2,0.16602
4,2,0.67167,5,4,1,3,0.17689
9,2,0.97718,5,4,4,5,1.3088
11,6,1.2794,4,3,2,5,0.24043
10,3,1.0374,3,4,2,2,0.28837
12,9,1.5579,2,3,1,3,0.52056
9,5,0.87722,2,5,1,1,0.058848
11,2,0.79868,3,3,1,2,0.38988
6,2,0.65471,3,4,2,5,0.49755
8,3,0.94469,4,3,3,1,1.6384
12,6,1.6812,2,3,1,4,0.66834
11,3,0.79747,5,5,3,5,0.50795
5,3,0.45257,5,2,2,5,0.12297
8,3,0.65492,2,2,1,2,1.4799
9,4,0.79755,2,2,1,4,1.1284
7,3,0.70014,2,4,1,3,1.0452
8,2,0.95866,2,5,1,5,0.26639
7,4,0.69744,5,5,3,3,0.60274
7,5,0.55084,4,5,3,5,0.046328
8,3,0.98612,4,4,2,1,0.4652
12,7,1.2087,4,5,3,2,0.60887
5,2,0.58279,4,4,2,1,0.31567
8,3,0.78771,4,5,3,3,1.8934
4,2,0.57642,2,2,1,3,0.25905
6,2,0.45273,5,2,3,1,1.1728
7,2,0.77254,4,4,3,3,0.71758
13,5,1.4914,3,3,2,4,1.1165
7,3,0.63404,5,3,1,2,0.1615
4,2,0.46107,3,5,1,5,0.045626
12,3,1.071,5,5,2,3,0.41873
13,4,1.1407,5,5,1,1,1.8333
9,5,1.0307,2,3,1,2,0.83092
