PGA_of_the_recording_scale1,PGA_of_the_recording_scale2
2.9360880000000003,3.0229200000000005
3.2532579999999998,5.126879
2.229252,2.789148
3.7244820000000005,7.603500000000001
2.6189180000000003,2.82642
3.235134,7.3542
2.863592,3.02412
2.89984,2.7776
2.1658180000000002,3.2265000000000006
1.622098,1.28343
1.22337,1.35
2.682352,6.509928
1.4680440000000001,1.5612750000000002
3.497932,5.825512
3.923846,10.469940000000001
3.289506,3.0318485999999996
7.912,5.255408
7.912,5.9067680000000005
5.9125,2.63175
6.9875,4.3875
8.213,3.82
4.4719999999999995,4.574544
4.9665,2.2262625000000003
8.642999999999999,6.0702
7.998,8.99496
2.27652,2.766472
1.84734,3.6630000000000003
2.68704,2.81664
2.4631200000000004,5.438400000000001
2.11791,2.17239
4.105200000000001,3.8192000000000004
3.22818,2.48082
1.3062,1.4
1.5021300000000002,3.5408730000000004
2.4724500000000003,2.5539375
2.7150300000000005,4.3917720000000005
3.11622,2.7896348
2.556299,2.029502
5.598152,6.291992
5.455342,7.067
2.9704479999999998,4.284800000000001
1.9564970000000002,1.18916
4.727011,4.468500000000001
4.4128289999999994,2.2155299999999998
1.870811,1.31
5.512466,8.489298
4.341424,2.9298
5.426779999999999,5.7379999999999995
4.598482,4.859624
3.9986799999999993,6.7704
4.455672,2.6058864
3.5374559999999997,5.007912
2.77781,2.3961
1.7687279999999999,3.2136
4.557875999999999,3.8471399999999996
4.693931999999999,3.59352
2.77781,3.3075000000000006
1.8594319999999998,1.1758799999999998
4.127032,3.64
3.34471,6.487935
4.932029999999999,4.1923125
3.560132,4.7414000000000005
2.517036,3.3504240000000003
2.4149939999999996,5.15034
4.98872,3.6749680000000002
5.874666,6.771000000000001
3.2583529999999996,1.9853399999999997
1.9100689999999998,2.4514
6.147533,3.32444
4.97581,2.2227
7.22295,4.5
4.831351,6.619892999999999
3.4509649999999996,2.0720625
2.455803,2.3103000000000002
3.2583529999999996,3.063676
5.9067680000000005,8.898240000000001
2.1989870000000002,1.1442514000000001
4.44,2.3472
6.7155000000000005,3.4739099999999996
3.4225000000000003,1.6058000000000001
