Simulation,Description,Features,Hyper-params,Model,Data type,Indicator,Value
simulation 1,feature selection,Fund_Freq1,{},Linear regression,test,MAE,0.37
simulation 1,feature selection,Fund_Freq1,{},Linear regression,test,MSE,0.24
simulation 1,feature selection,Fund_Freq1,{},Linear regression,test,R2,0.02
simulation 1,feature selection,Fund_Freq1,{},Linear regression,train,MAE,0.37
simulation 1,feature selection,Fund_Freq1,{},Linear regression,train,MSE,0.23
simulation 1,feature selection,Fund_Freq1,{},Linear regression,train,R2,0.02
simulation 2,feature selection,Fund_Freq1,{},K Nearest Neighbours,test,MAE,0.39
simulation 2,feature selection,Fund_Freq1,{},K Nearest Neighbours,test,MSE,0.24
simulation 2,feature selection,Fund_Freq1,{},K Nearest Neighbours,test,R2,-0.02
simulation 2,feature selection,Fund_Freq1,{},K Nearest Neighbours,train,MAE,0.38
simulation 2,feature selection,Fund_Freq1,{},K Nearest Neighbours,train,MSE,0.24
simulation 2,feature selection,Fund_Freq1,{},K Nearest Neighbours,train,R2,-0.01
simulation 3,feature selection,Fund_Freq2,{},Linear regression,test,MAE,0.37
simulation 3,feature selection,Fund_Freq2,{},Linear regression,test,MSE,0.24
simulation 3,feature selection,Fund_Freq2,{},Linear regression,test,R2,0.02
simulation 3,feature selection,Fund_Freq2,{},Linear regression,train,MAE,0.37
simulation 3,feature selection,Fund_Freq2,{},Linear regression,train,MSE,0.23
simulation 3,feature selection,Fund_Freq2,{},Linear regression,train,R2,0.01
simulation 4,feature selection,Fund_Freq2,{},K Nearest Neighbours,test,MAE,0.37
simulation 4,feature selection,Fund_Freq2,{},K Nearest Neighbours,test,MSE,0.25
simulation 4,feature selection,Fund_Freq2,{},K Nearest Neighbours,test,R2,-0.04
simulation 4,feature selection,Fund_Freq2,{},K Nearest Neighbours,train,MAE,0.37
simulation 4,feature selection,Fund_Freq2,{},K Nearest Neighbours,train,MSE,0.24
simulation 4,feature selection,Fund_Freq2,{},K Nearest Neighbours,train,R2,-0.03
simulation 5,feature selection,PGA_of_the_recording_scale_1,{},Linear regression,test,MAE,0.33
simulation 5,feature selection,PGA_of_the_recording_scale_1,{},Linear regression,test,MSE,0.2
simulation 5,feature selection,PGA_of_the_recording_scale_1,{},Linear regression,test,R2,0.19
simulation 5,feature selection,PGA_of_the_recording_scale_1,{},Linear regression,train,MAE,0.33
simulation 5,feature selection,PGA_of_the_recording_scale_1,{},Linear regression,train,MSE,0.19
simulation 5,feature selection,PGA_of_the_recording_scale_1,{},Linear regression,train,R2,0.18
simulation 6,feature selection,PGA_of_the_recording_scale_1,{},K Nearest Neighbours,test,MAE,0.28
simulation 6,feature selection,PGA_of_the_recording_scale_1,{},K Nearest Neighbours,test,MSE,0.16
simulation 6,feature selection,PGA_of_the_recording_scale_1,{},K Nearest Neighbours,test,R2,0.32
simulation 6,feature selection,PGA_of_the_recording_scale_1,{},K Nearest Neighbours,train,MAE,0.25
simulation 6,feature selection,PGA_of_the_recording_scale_1,{},K Nearest Neighbours,train,MSE,0.13
simulation 6,feature selection,PGA_of_the_recording_scale_1,{},K Nearest Neighbours,train,R2,0.45
simulation 7,feature selection,PGA_of_the_recording_scale_2,{},Linear regression,test,MAE,0.34
simulation 7,feature selection,PGA_of_the_recording_scale_2,{},Linear regression,test,MSE,0.21
simulation 7,feature selection,PGA_of_the_recording_scale_2,{},Linear regression,test,R2,0.13
simulation 7,feature selection,PGA_of_the_recording_scale_2,{},Linear regression,train,MAE,0.34
simulation 7,feature selection,PGA_of_the_recording_scale_2,{},Linear regression,train,MSE,0.21
simulation 7,feature selection,PGA_of_the_recording_scale_2,{},Linear regression,train,R2,0.14
simulation 8,feature selection,PGA_of_the_recording_scale_2,{},K Nearest Neighbours,test,MAE,0.3
simulation 8,feature selection,PGA_of_the_recording_scale_2,{},K Nearest Neighbours,test,MSE,0.18
simulation 8,feature selection,PGA_of_the_recording_scale_2,{},K Nearest Neighbours,test,R2,0.26
simulation 8,feature selection,PGA_of_the_recording_scale_2,{},K Nearest Neighbours,train,MAE,0.26
simulation 8,feature selection,PGA_of_the_recording_scale_2,{},K Nearest Neighbours,train,MSE,0.14
simulation 8,feature selection,PGA_of_the_recording_scale_2,{},K Nearest Neighbours,train,R2,0.42
simulation 9,feature selection,b_Hieght,{},Linear regression,test,MAE,0.32
simulation 9,feature selection,b_Hieght,{},Linear regression,test,MSE,0.2
simulation 9,feature selection,b_Hieght,{},Linear regression,test,R2,0.18
simulation 9,feature selection,b_Hieght,{},Linear regression,train,MAE,0.32
simulation 9,feature selection,b_Hieght,{},Linear regression,train,MSE,0.19
simulation 9,feature selection,b_Hieght,{},Linear regression,train,R2,0.18
simulation 10,feature selection,b_Hieght,{},K Nearest Neighbours,test,MAE,0.35
simulation 10,feature selection,b_Hieght,{},K Nearest Neighbours,test,MSE,0.24
simulation 10,feature selection,b_Hieght,{},K Nearest Neighbours,test,R2,0.02
simulation 10,feature selection,b_Hieght,{},K Nearest Neighbours,train,MAE,0.35
simulation 10,feature selection,b_Hieght,{},K Nearest Neighbours,train,MSE,0.23
simulation 10,feature selection,b_Hieght,{},K Nearest Neighbours,train,R2,0.04
simulation 11,feature selection,dim_x,{},Linear regression,test,MAE,0.37
simulation 11,feature selection,dim_x,{},Linear regression,test,MSE,0.24
simulation 11,feature selection,dim_x,{},Linear regression,test,R2,0.0
simulation 11,feature selection,dim_x,{},Linear regression,train,MAE,0.37
simulation 11,feature selection,dim_x,{},Linear regression,train,MSE,0.24
simulation 11,feature selection,dim_x,{},Linear regression,train,R2,0.0
simulation 12,feature selection,dim_x,{},K Nearest Neighbours,test,MAE,0.41
simulation 12,feature selection,dim_x,{},K Nearest Neighbours,test,MSE,0.28
simulation 12,feature selection,dim_x,{},K Nearest Neighbours,test,R2,-0.18
simulation 12,feature selection,dim_x,{},K Nearest Neighbours,train,MAE,0.41
simulation 12,feature selection,dim_x,{},K Nearest Neighbours,train,MSE,0.29
simulation 12,feature selection,dim_x,{},K Nearest Neighbours,train,R2,-0.21
simulation 13,feature selection,dim_y,{},Linear regression,test,MAE,0.37
simulation 13,feature selection,dim_y,{},Linear regression,test,MSE,0.24
simulation 13,feature selection,dim_y,{},Linear regression,test,R2,-0.0
simulation 13,feature selection,dim_y,{},Linear regression,train,MAE,0.37
simulation 13,feature selection,dim_y,{},Linear regression,train,MSE,0.24
simulation 13,feature selection,dim_y,{},Linear regression,train,R2,0.0
simulation 14,feature selection,dim_y,{},K Nearest Neighbours,test,MAE,0.41
simulation 14,feature selection,dim_y,{},K Nearest Neighbours,test,MSE,0.29
simulation 14,feature selection,dim_y,{},K Nearest Neighbours,test,R2,-0.19
simulation 14,feature selection,dim_y,{},K Nearest Neighbours,train,MAE,0.4
simulation 14,feature selection,dim_y,{},K Nearest Neighbours,train,MSE,0.28
simulation 14,feature selection,dim_y,{},K Nearest Neighbours,train,R2,-0.19
simulation 15,feature selection,b_st,{},Linear regression,test,MAE,0.32
simulation 15,feature selection,b_st,{},Linear regression,test,MSE,0.2
simulation 15,feature selection,b_st,{},Linear regression,test,R2,0.17
